其他频道,#genre#
CETV1,http://121.19.134.190:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://121.19.134.190:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://111.225.112.27:808/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://111.225.113.130:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://111.225.112.27:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://121.19.134.190:808/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://111.225.112.27:808/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://121.19.134.190:808/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
中国交通,http://111.225.113.130:808/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共,http://111.225.112.27:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共,http://121.19.134.190:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共,http://111.225.113.130:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定新闻综合,http://111.225.112.27:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定新闻综合,http://121.19.134.190:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://111.225.112.27:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://121.19.134.190:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://111.225.113.130:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
北京纪实,http://111.225.112.27:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://123.182.209.109:8088/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
唐山新闻综合,http://111.225.112.27:808/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://121.19.134.190:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://111.225.113.130:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
廊坊新闻,http://111.225.112.27:808/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
张家口1,http://111.225.112.27:808/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://111.225.112.27:808/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
曲周新闻,http://123.182.209.109:8088/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
武术世界,http://111.225.112.27:808/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://111.225.112.27:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://121.19.134.190:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://111.225.113.130:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共,http://123.182.209.109:8088/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://111.225.112.27:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://111.225.113.130:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://121.19.134.190:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民,http://123.182.209.109:8088/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教,http://121.19.134.190:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教,http://111.225.112.27:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教,http://111.225.113.130:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视,http://123.182.209.109:8088/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧,http://121.19.134.190:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧,http://111.225.112.27:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧,http://111.225.113.130:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北杂技,http://111.225.112.27:808/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
河北杂技,http://121.19.134.190:808/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
河北杂技,http://111.225.113.130:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济,http://123.182.209.109:8088/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活,http://111.225.112.27:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活,http://111.225.113.130:808/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活,http://121.19.134.190:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://111.225.112.27:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://111.225.113.130:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://121.19.134.190:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://123.182.209.109:8088/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://223.159.11.63:8099/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
湖南国际,http://223.159.11.63:8099/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖南娱乐,http://223.159.11.63:8099/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
湖南教育,http://223.159.11.63:8099/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电影,http://223.159.11.63:8099/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电视剧,http://223.159.11.63:8099/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
湖南经视,http://223.159.11.63:8099/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
湖南都市,http://113.218.218.5:8001/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://223.159.11.63:8099/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
石家庄娱乐,http://123.182.209.109:8088/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄新闻,http://123.182.209.109:8088/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄生活,http://123.182.209.109:8088/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
石家庄都市,http://123.182.209.109:8088/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
秦皇岛1,http://111.225.112.27:808/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://123.182.209.109:8088/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://121.19.134.190:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://111.225.113.130:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
老故事,http://123.182.209.109:8088/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸公共,http://123.182.209.109:8088/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸新闻,http://123.182.209.109:8088/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
邯郸民生都市,http://123.182.209.109:8088/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://223.159.11.63:8099/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://123.182.209.109:8088/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://123.182.209.109:8088/tsfile/live/faacts/1020_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://223.159.11.63:8099/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
靓妆,http://123.182.209.109:8088/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
2024-03-24更新,#genre#
